游戏名,中文名,别名,评分人数,tag,rank
美少女万華鏡 -罪と罰の少女-,美少女万华镜 -罪与罚的少女-,美少女万華鏡4、Biman 4,3050,Galgame; 拔作; 八宝備仁; ωstar; 伪娘; 美少女万华镜; 动态CG; PC; R18; 2017,4591
ハミダシクリエイティブ,常轨脱离Creative,ハミクリ、Hamikuri、哈密达斯创意、哈密达斯、灵感满溢的甜蜜创想、富婆妹,3049,Galgame; 废萌; 妹; まどそふと; 和泉妃爱; 秋野花; 纯爱; 2020; PC; 汉化,4719
アマツツミ,天津罪,,3039,Galgame; Purplesoftware; 御影; 克; 紫社; 天津罪; 画风美; PC; 2016; 月杜尋,1265
ファタモルガーナの館,海市蜃楼之馆,ファタモル、fata馆,2999,Galgame; 同人; 推理悬疑; Novectacle; AVG; 悬疑; 馆; PC; 全年龄; 魔女,131
媚肉の香り～ネトリネトラレヤリヤラレ～,媚肉之香,,2906,Galgame; ELF; 土天冥海; NTR; 悬疑; 市川小紗; 纯爱; R18; BE超多; PC,523
シンフォニック=レイン,交响乐之雨,Симфония дождя、Symphonic Rain,2817,Galgame; 冈崎律子; 工画堂; 交响乐之雨; 全年龄; 中原麻衣; 神作; PC; GAL; 雨水,82
ランス01 光をもとめて,兰斯01 寻找小光,Rance 1 Remake、Rance 01 - The Quest for Hikari,2738,alicesoft; 兰斯; Galgame; RPG; 重制版; 黄油; PC; 游戏性; R18; 战斗,3827
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？2,,抜きゲーみたいな島に住んでる貧乳（わたし）はどうすりゃいいですか？2、ぬきたし2、Nukitashi2、Is the prospect Hope or Despair?、拔作岛2、拔岛2,2683,Galgame; Qruppo; 拔作岛; 剧情作; 续作; 沙雕不要停下来; 2019; 倉骨治人; PC; 搞笑,314
景の海のアペイリア,流景之海的艾佩理雅,The sea of the landscape Apeiria、景（ひかり）の海のアペイリア、海景的艾佩莉雅、景之海的埃佩利亚、景之海、海景房、流景之海的艾佩理雅,2670,Galgame; 悬疑; 范乃秋晴; SF; 景の海のアペイリア; 意外之作; シルキーズプラス; 科幻; 2017; PC,473
"さくら、もゆ。-as the Night's, Reincarnation-","樱花、萌放。-as the Night's, Reincarnation-",SakuMoyu、樱摸鱼、樱花摸鱼、さくら、もゆ,2647,Galgame; FAVORITE; 漆原雪人; F社; 幼女; 司田カズヒロ; 魔法少女; 马猴烧酒; PC; 忍,245
AIR,,,2643,key; 麻枝准; Galgame; air; 鸟之诗; 催泪; 泣きゲー; 观铃; 神作; 国歌,159
Clover Day's,幸运草的约定,クローバーデイズ、CLD、幸运草的约定,2640,Galgame; alcot; 桐谷华; 废萌; 双子; 妹控; 萝莉; 妹; 妹！; 输在起跑线系列,2711
マルコと銀河竜,丸子与银河龙,Marco and the Galaxy Dragon,2639,Galgame; 全年龄; TOKYOTOON; CG超赞; はと; PC; 百合; 2020; ADV; 大空樹,1638
DRACU-RIOT!,,ドラクリオット,2617,柚子社; Galgame; 废萌; 吸血鬼; 纯爱; ゆずソフト; Yuzu-Soft; PC; 汉化; GAL,3851
月姫,月姬,Tsukihime: Blue Blue Glass Moon、Under The Crimson Air、Moon Princess,2549,Type-Moon; 奈须きのこ; Galgame; 月姬; 武内崇; 月世界; PC; 奈須きのこ; 18X; GAL,270
いろとりどりのセカイ,五彩斑斓的世界,Colorful World、Irotoridori No Sekai - The Colorful World、色鸟鸟,2482,FAVORITE; Galgame; 色鸟鸟; 漆原雪人; 司田カズヒロ; いろとりどりのセカイ; PC; 杏子御津; 澤田なつ; GAL,1756
うみねこのなく頃に,海猫鸣泣之时,When They Cry 3、When The Seagulls Cry,2477,竜騎士07; 海猫; 推理; 龙骑士07; Galgame; 悬疑; 同人游戏; 07th_Expansion; AVG; PC,124
キラ☆キラ,KIRA☆KIRA 煌煌舞台,KiraKira,2471,瀬戸口廉也; Galgame; OVERDRIVE; 死生観; 青春; kira☆kira; PC; 2007; GAL; キラ☆キラ,109
大図書館の羊飼い,大图书馆的牧羊人,a good librarian like a good shepherd,2409,AUGUST; Galgame; 八月社; 桐谷华; 八月脸; 大圖書館的牧羊人; 废萌; GAL; PC; 小太刀,1600
腐り姫 ～euthanasia～,腐姬,,2351,星空めてお; Galgame; Lair-soft; 腐り姫; 优秀的氛围; 乱伦; 乡愁; 妹控; Liar-soft; PC,211
マブラヴ,Muv-Luv,MUV-LUV Save in the name of true love、Muv-Luv Extra&Unlimited,2328,Galgame; muv-luv; âge; PC; EXTRA&UNLIMITED; 鑑純夏; 2003; マブラヴ; GAL; 御剣冥夜,5637
妹調教日記～こんなツンデレが俺の妹なわけない！～,妹调教日记,妹调教日记~这么傲娇不可能是我的妹妹~、妹调,2321,Galgame; 调教; 妹控; 拔作; 黑化; Gal吧三神作; PC; 妹调教; 我已经死了; NANACAN,10481
CHAOS;HEAD,混沌头,ChäoS;HEAd、C;H、カオスヘッド、カオヘ,2305,Nitro+; Galgame; 5pb; 猎奇; 悬疑; 混沌头; 死宅的妄想力可是很强大的; PC; 林直孝; N+,4161
枯れない世界と終わる花,永不枯萎的世界与终结之花,永不枯萎的世界与终之花、The rainbow appears after flowering rain.、karehana、kareseka、不败世界与终焉之花、永不枯萎的世界与终结之花,2261,Galgame; SWEET&TEA; 桐谷华; 萝莉; 秋野花; あめとゆき; 氛围gal; 好漂亮; 2016; PC,5854
死に逝く君、館に芽吹く憎悪,逝去的你、于馆中萌生的憎恶,"Shi ni Yuku Kimi, Yakata ni Mebuku Zouo、にくにく、Nikuniku、死馆、逝去的你，馆里苏醒的罪恶",2258,猎奇; Galgame; 和泉万夜; 重口; R-18G; るび様; 过激; 初心者回避; 拔作; PC,8592
家族計画,家族计划,Kazokei、KK、FP、家计、家族計画 ～絆箱～、家族計画 ～追憶～,2244,田中ロミオ; Galgame; 家族计画; 田中罗密欧; D.O.; 神作; 剧情流; 家族; PC; 2001,152
Making*Lovers,突然＊恋人,メイキング・ラバーズ,2220,SMEE; Galgame; 纯爱; 甜; 甜作; 早瀬ゆう; 妹; 废萌; 汉化; 2017,1649
月影のシミュラクル -解放の羽-,月影魅像-解放之羽-,月影幻像、解放之羽、入木三分,2207,Galgame; 悬疑; 桐月; 人偶; あっぷりけ; 纯爱; 汉化; 2017; GAL; PC,4192
ランス9 ヘルマン革命,兰斯9 赫尔曼革命,Rance 9 - The Helman Revolution -、ランスⅨ,2204,alicesoft; 兰斯; Galgame; SLG; RPG; 游戏性; PC; R18; 2014; GAL,199
恋愛、借りちゃいました,,恋爱？那就给钱吧、れんかり、Renkari、Renai Karichaimashita、こいかり、Renai Karichaimashita: Koikari - Love For Hire、借恋,2179,Galgame; ASa_Project; 三角恋; 废萌; Asa; 租借男友; 世界名画; 富婆; 2019; ASaProject,4613
虚ノ少女,虚之少女,Kara no Shoujo 2、殻2、ウロ、Uro no Shoujo、KnS2、虚少,2175,InnocentGrey; Galgame; 杉菜水姫; 猎奇; 致郁; 悬疑; 冬子走好; 鈴鹿美弥; PC; GAL,1836
