游戏名,中文名,别名,评分人数,tag,rank
流星ワールドアクター,流星世界演绎者,流星WA、Ryuusei WA,827,Galgame; 衣笠彰梧; 春夏冬ゆう; 没写完; 2019; 悬疑; PC; 等第二部; GAL; 汉化,4208
FORTUNE ARTERIAL,,fa、フォアテリ、フォーチュンアテリアル,825,AUGUST; Galgame; 吸血鬼; 八月社; FORTUNE_ARTERIAL; 八月脸; PC; GAL; 汉化; 2008,3488
たねつみの歌,播种之谣,Seedsow Lullaby,824,Galgame; 全年龄; ANIPLEX.EXE; 亲情; 视觉小说; PC; 家族; 2024; 穿越; kazuki,1043
School Days,日在校园,スクールデイズ、SD,824,Galgame; 人渣诚; overflow; 日在校园; 18X; 西园寺世界; Niceboat; 人渣; 言叶; 番茄酱,3603
星空へ架かる橋,架向星空之桥,Hoshikaka、A Bridge to the Starry Skies,822,feng; Galgame; 涼香; 乡土气息; 废萌; PC; 巫女; 清水愛; 門脇舞以; 汉化,7279
この大空に、翼をひろげて,在这苍穹展翅,Extend the little wings which fly in this sky highly、Konosora、IMHHW、Konoaobasa、Korogete、코노소라、If My Heart Had Wings、在这广阔的天空下展翅吧,800,Galgame; pulltop; 青春; 大空翼; 紺野アスタ; PC; この大空に、翼を広げて; GAL; 2012; STEAM,2023
スタディ§ステディ,,见习§恋人,798,Galgame; ま～まれぇど; 动态立绘; 拔作; 黑长直; 2019; 纯爱; PC; あじ秋刀魚; 废萌,5050
世界でいちばんNG（だめ）な恋,世界上最NG的恋爱,NG恋、世界で一番NGな恋、世界でいちばんだめな恋、Sekai de Ichiban NG na Koi、The World's Most Forbidden Love、DameKoi、SekaiDame、世界でいちばんNGな恋,774,丸戸史明; Galgame; 肥皂剧; 丸户史明; HERMIT; 欢乐; 女儿; PC; GAL; 汉化,1310
Evenicle -イブニクル- 2,夏娃年代记2,Evenicle2,773,alicesoft; Galgame; RPG; 后宫; PC; 八重樫南; 2019; 拔作; 汉化; 18+,4447
サクラノモリ†ドリーマーズ,樱之杜†净梦者,樱之杜†净梦者、Sakura no Mori † Dreamers,771,Galgame; moonstone; 悬疑; 呉; 猎奇; 鬼片; 電気式華憐音楽集団; 2016; PC; 汉化,5388
河原崎家の一族2,河原崎家的一族2,,770,ELF; Galgame; 蛭田昌人; 土天冥海; NTR; 悬疑; 馆系; R18; PC; 灰暗系,900
紅月ゆれる恋あかり,红月摇曳的恋之星火,ゆれあか、Yureaka、浅蓝汉化小番队,770,Galgame; CRYSTALiA; 白毛; 热血; 百合游戏（笑; 百合; 2020; 青春; PC; 废萌,4237
オトメ世界の歩き方,少女世界的生存之道,,766,Galgame; 伪娘; mignon; 女装; 2024; オルトロス; PC; R18; ADV; 拔作,9508
徒花異譚,徒花异谭,Adabana Odd Tales,752,Liar-soft; Galgame; 海原望; 全年龄; 大石竜子; ANIPLEX.EXE; 童话; PC; STEAM; 2020,2772
LOVELY×CATION2,,"ＬＯＶＥＬＹ×Ｃ∧ＴＩＯＮ２, Love which continues eternally、L×C2",745,Galgame; 纯爱; 暁WORKS-響-; 拔作; PC; GAL; hibiki_works; 汉化; 值得一玩的純愛; 唯々月たすく,4602
駄作,駄作,Dasaku,744,猎奇; Galgame; CYCLET; 重口; 伪娘; 扶她; 血腥; 拔作; 致郁; 汉化,9411
スキとスキとでサンカク恋愛,青春×好奇相伴的三角恋爱,Sankaku Renai: Love Triangle Trouble,731,Galgame; ASaProject; 颜艺; Asa; 实妹; 逗逼向; 妹; 玩梗; 汉化; 清水爱,6346
anemoi -アネモイ-,,アネモイ、anemoi,729,Galgame; key; 新岛夕; 全年龄; 魁; PC; きみしま青; ADV; 游戏; 腾讯游戏,4431
海沙风云,海沙风云,海沙风云 Far Away、Far Away、彼方へ,722,国产; AVG; 粤语; Galgame; 全年龄; 红茶Games; PC; STEAM; 女性视角; 2021,2017
大帝国,大帝国,,721,alicesoft; Galgame; SLG; 地域制压; 大帝国; PC; 鬼畜; アリスソフト; GAL; 汉化,4824
神待ちサナちゃん,神待少女纱波,Kamisana,720,拔作; Galgame; 动态CG; 纯爱; Frill; 调教; PC; 汉化; 2018; 伊倉ナギサ,6178
narcissu 3rd -Die Dritte Welt-,水仙3,水仙3,719,Galgame; 片岡とも; 水仙; 生死观; 全年龄; narcissu; PC; 沉重; 复数剧本; stagenana,2470
赫炎のインガノック -What a beautiful people-,赫炎的印加诺克 ～何等美好的人们～,Inganock of the Rage Fire,718,Liar-soft; 桜井光; 蒸汽朋克; Galgame; 喝采せよ; 雰囲気; Lair-soft; PC; 大石龙子; AVG,1591
MUSICUS!,,ムジクス、Musica!,704,瀬戸口廉也; Galgame; OVERDRIVE; 2019; 等汉化; PC; GAL; ADV; 瀬戸口复出; 生肉,107
FLOWERS - Le volume sur hiver -,FLOWERS 冬篇,FLOWERS Fuyu-hen、Flowers4、FLOWERS -The volume of winter-,689,百合; InnocentGrey; Galgame; 杉菜水姫; 全年龄; FLOWERS; GAL; PC; 志水はつみ; 2017,5919
雫,雫,雫 -しずく-、Drip,683,leaf; 电波; Galgame; 狂气; 電波ゲー; 高橋龍也; 1996; 高桥龙也; 兄妹; PC,7591
推しのラブより恋のラブ,一生推不如一生恋,Oshi no Love yori Ren no Love、OshiLove、推しラブ、오시러브、SukeraSomero,683,百合; Galgame; 纯爱; SukeraSparo; PC; 小品; 2020; 猫村ゆき; 汉化; R18,9479
はるまで、くるる。,春开，意遥遥。,HaruKuru、Spring has come true?、はるくる、直到春天到来。、轮转至此，待春临。、春日远遥遥、春滚滚,681,Galgame; 渡辺僚一; 轮回; すみっこソフト; 伪拔作; 伪SF; 后宫; 科幻; PC; 汉化,1808
戦女神ZERO,战女神ZERO,Battle Goddess Episode 0、BG0、IMZ,680,Eushully; Galgame; 戦女神ZERO; RPG; 战女神; 老赛; 世界観がいい; 燃え; PC; 感動,257
夏ノ雨,夏之雨,Summer Rain、姐之雨,677,Galgame; CUBE; 实姐; 纯爱; 姐控; 黑长直; 姐; 夏ノ雨; PC; 汉化,4154
灯穂奇譚,灯穗奇谭,とうすいきたん、灯穗奇谭,666,Galgame; SCA-自; 民俗; 悬疑; 基4; 民俗考据; 猎奇; 神一般的表现力; PC; 同人,4401
LUNARiA -Virtualized Moonchild-,,,652,key; Galgame; 全年龄; 松山剛; 短篇; PC; 2021; 纯爱; 小品; 催泪,5607
PRIMAL×HEARTS,,プライマルハーツ、プラハ,650,Galgame; ま～まれぇど; 萝莉; 遥そら; GAL; PC; 实用; 废萌; 汉化; 2014,4200
BALDR HEART,,バルドハート、BH,648,戯画; Galgame; BALDR; ACT; 卑影ムラサキ; GIGA; 游戏性强; 汉化; 萝卜; PC,849
アインシュタインより愛を込めて APOLLOCRISIS,爱因斯坦携爱敬上 APOLLOCRISIS,,647,新島夕; Galgame; きみしま青; 水月陵; GLOVETY; FD; 新岛夕; 2021; GAL; 温暖人心,3437
アストラエアの白き永遠 Finale-白き星の夢-,星辰恋曲的白色永恒 白色星之梦,"Happiness is not a station you arrive at but a manner of traveling, AstralAir Fandisk",646,FAVORITE; Galgame; FD; 幸姐; 星辰恋曲的白色永恒; 纯爱; 治愈; 司田カズヒロ; PC; 姉ゲー,3484
BALDR FORCE,,バルドフォース、バルドフォースエグゼ、BF、装甲之力,640,戯画; Galgame; GIGA; ACT; 赛博朋克; BaldrForce; 菊池政治; BALDR; 萝卜; 卑影ムラサキ,515
花の野に咲くうたかたの,五色浮影绽放于花之海洋,花野盛开的瞬间、The Sweet World of The Ephemeral、Hananono、はなのの,640,Galgame; 桐月; あっぷりけ; GAL; 神音乐; 汉化; 樱花; 人设一级棒; PC; BGM好,5099
プトリカ 1st.cut,宝石少女 1st.cut:The Reason She Must Perish,,635,Galgame; 桐葉; 全年龄; ルクル; 分割商法; rkr; 百合; PC; 同人; トトメトリ,5608
雪影 -setsuei-,雪影,yukikage,633,Galgame; 田中ロミオ; 姐控; 民俗学; 姐; SilverBullet; 日野亘; 治愈系; 汉化; 冬季,1817
サツコイ～悠久なる恋の歌～,杀恋～悠久流传的恋之歌,杀恋～悠久的恋爱之歌～、Satsukoi ~Yuukyuu Naru Koi no Uta~,626,Galgame; ALcotハニカム; 实妹; 催泪; 妹; alcot; 瀬尾順; 妹ゲー; 妹控; PC,6815
小白兔电商,,Bunny E-shop,625,国产; Galgame; 橘子班; 全年龄; PC; 炒饭; STEAM; 键政; 经营; 2021,6269
ラズベリーキューブ,树莓立方体,ラズキュー、Rasberry Cube,607,Galgame; まどそふと; 萌拔; 废萌; 北見六花; はすね; 银发蓝瞳; PC; 2018; 北见六花,9634
Flyable Heart,,The future has already begun.、フライアブルハート、飞翔的心,596,Galgame; 伊东杂音; UNISONSHIFT; 校园; 水月陵; PC; いとうのいぢ; flybleheart; GAL; 汉化,3987
ナツユメナギサ,夏梦渚,Natsunagi、ナツナギ、Natsuyume Nagisa,593,新島夕; SAGAPLANETS; Galgame; 暖人心田; 治愈; 新岛夕; 四季系列; GAL; 夏梦; 佐本二厘,1826
未来ラジオと人工鳩,未来广播与人工鸽,未来电波和人工鸽子,586,Laplacian; Galgame; 科幻; 悬疑; 緒乃ワサビ; 2018; 浅川悠; GAL; PC; 妹,6511
クロウカシス 七憑キノ贄,白雪～七凭之祭～,,584,InnocentGrey; 杉菜水姬; Galgame; 猎奇; 推理; 七凭之祭; 悬疑; 鈴鹿美弥; PC; GAL,9346
ルートダブル -Before Crime * After Days-,Root Double -Before Crime * After Days-,ビフォークライム アフターデイズ、Root Double -Before Crime * After Days-、Root Double,565,Galgame; 中泽工; 悬疑; 全年龄; AVG; 中澤工; SF; Regista; PC; 2012,920
大図書館の羊飼い～放課後しっぽデイズ～,大图书馆的牧羊人～放学后的尾巴时光～,Tail Days after-school、Daitoshokan no Hitsujikai ~Houkago Shippo Days~,565,AUGUST; Galgame; 全年龄; 大圖書館的牧羊人; 八月社; FD; 八月脸; 汉化; PC; GAL,8134
セヴンデイズ あなたとすごす七日間,7days—与你共度的七日间,7days with you: the most precious memory in our lives.、Seven Days,557,Galgame; 全年齢向け; LIFE0; 全年龄; 感动; 纯爱; 人鬼情未了; PC; 雰囲気がいい; 2017,2339
クナド国記,久那土国记,,553,Purplesoftware; Galgame; 御影; 紫社; 克; 秋野花; 2021; 小波すず; 2021-12; GAL,6614
刃鳴散らす,刃鸣散,,550,Nitro+; 奈良原一鉄; Galgame; PC; BL; N+; AVG; 2005; 搞基; 大崎シンヤ,3940
タユタマ2 -you're the only one-,游魂2 -you're the only one-,Smart Elves 2,543,方糖社; Galgame; 萌木原; 官中; STEAM; 纯爱; 萌木原ふみたけ; PC; 汉化; LumpofSugar,6678
天使の羽根を踏まないでっ,不要践踏天使的羽毛,Tenshihane、踩翅膀、踩羽毛,542,Galgame; 伪娘; 朱门优; 女装; 天使の羽根を踏まないでっ; WHITE-LIPS; GAL; PC; 神话; 汉化,3734
書淫、或いは失われた夢の物語。,书淫，或是已失去的梦之物语。,書淫、あるいは失われた夢の物語,533,深沢豊; Galgame; 悬疑; meta; 解离性同一性障害; 埋作; 雰囲気; PC; 汉化; 2000,2823
ひまわり -Pebble in the Sky-,向日葵：天空鹅卵石,Himawari - The Sunflower -、ひまわり -Pebble in the Sky-,530,Galgame; ごぉ; FrontWing; 空中幼彩; 全年龄; PC; 田村大魔王; 剧情; GAL; AVG,826
創刻のアテリアル,创刻的动脉,创刻,525,Eushully; Galgame; 卡牌; 卡片; TCG; 创刻; 打牌王; 創刻のアテリアル; PC; GAL,4079
pieces/渡り鳥のソムニウム,pieces/候鸟的梦,ピーシーズ、pieces / Wataridori no Somnium,511,Galgame; whirlpool; 水鏡まみず; 2019; 纯爱; 和泉万夜; 甜作; 夏和小; 藤田茜; 近江谷宥,4326
タユタマ-Kiss on my Deity-,游魂-Kiss on my Deity-,游魂1、Tayutama: Kiss on my Deity,511,Galgame; 方糖社; Lump_of_Sugar; 萌木原; 真白; 废萌; PC; 萌え; GAL; 汉化,5123
塵骸魔京,尘骸魔京,Chaos Gate Jingai Makyo、じんがいまきょう,509,Nitro+; Galgame; Nitroplus; 尘骸魔京; 半成品; 神中文op; 塵骸魔京; PC; GAL; N+,1917
廃村少女［弐］ ～陰り誘う秘姫の匣～,废村少女［贰］ ～幽秘蛊惑的姬之匣～,废村少女、废村少女2,507,Galgame; 拔作; Escu:de; 民俗; R18; 悬疑; PC; ADV; 2025; 游戏,3731
サクラノモリ†ドリーマーズ 2,樱之杜†净梦者2,樱之杜†净梦者2、Sakura no Mori † Dreamers 2,507,Galgame; moonstone; 猎奇; 悬疑; 呉; 幼馴染; ADV; PC; 幼なじみ; 妹,3846
るいは智を呼ぶ,智以泪聚,るい智、ruitomo,499,Galgame; 伪娘; 暁WORKS; 女装; 日野亘; 悬疑; 佐本二厘; PC; 这才是最强伪娘！; 2008,1440
ピアノの森の満開の下,盛开的钢琴之森下,,499,Galgame; 妹控; 盛开的钢琴之森下; 妹; ぱじゃまソフト; 雰囲気がいい; 汉化; PC; GAL; 感動,4986
あの晴れわたる空より高く,冲破万里晴空之上,Byakko、Haretaka、Anohare、はれたか、造火箭、하레타카、나로호、晴空万里意凌云,496,Galgame; Chuablesoft; 范乃秋晴; 造火箭; 青春; 2014; 範乃秋晴; PC; ADV; 汉化,599
景の海のアペイリア ～カサブランカの騎士～,流景之海的艾佩理雅 ～卡萨布兰卡的骑士～,Hikari no Umi no Apeiria FD、流景之海的艾佩莉娅~卡萨布兰卡的骑士~,484,Galgame; FD; 景の海のアペイリア; シルキーズプラス; 范乃秋晴; 后宫; 2017; PC; 範乃秋晴; ADV,7627
祝姫,祝姬,いわいひめ,482,Galgame; 竜騎士07; 全年龄; 悬疑; 和遥キナ; PC; DMM; GAL; AVG; 温情,7879
ジサツのための101の方法,自杀的101种方法,101 Ways to Commit Suicide、The 101 Methods of Suicide,477,三大電波ゲー; 电波; Galgame; 狂气; 金月龍之介; 欺凌; GAL; 2001; PC; 公爵,9255
同級生リメイク,同级生 重制版,Classmates、Nanpa 1,476,Galgame; ELF; 重制; R18; PC; 2021; すめらぎ琥珀; FANZAGAMES; 纯爱; 时泪,4047
夜明け前より瑠璃色な-Moonlight Cradle-,夜明前的琉璃色-Moonlight Cradle-,Yoake Mae yori Ruri Iro na -Moonlight Cradle-,472,AUGUST; Galgame; 夜明け前より瑠璃色な; 夜明MC; FD; 白开水; 八月社; PC; fandisk; AUGUST标准脸型,3705
想い出にかわる君 〜Memories Off〜,沦为回忆的你 ~秋之回忆~,memoff3、Memo-Off 3、メモオフ3、You that became a Memory ~Memories Off~、Omokimi、想君、秋之回忆 想君、秋之回忆3、告别回忆3、MO3,452,KID; 秋之回忆; Galgame; 想君; MO; GAL; PSP; PC; 2002; AVG,5950
最果てのイマ,最后的现在,Farthest,451,田中ロミオ; Galgame; 哲学; 求汉化; 科幻; 杂学; xuse; 近未来预测; PC; GAL,120
BLACK SHEEP TOWN,黑羊镇,,428,瀬戸口廉也; Galgame; 群像; 全年龄; PC; AVG; 2022; BA-KU; 文字冒险; 瀬戸口复出,219
屋上の百合霊さん,屋上的百合灵,Yuri Ghosts on the Rooftop、屋上的百合幽灵同学,426,百合; Galgame; Liar-soft; PC; Liarsoft; 屋上的百合灵; 睦月たたら; GAL; 汉化; ADV,1796
ONE ～輝く季節へ～,ONE～辉之季节～,,421,Galgame; key; 久弥直树; Tactics; 麻枝准; ～輝く季節へ～; ONE～輝く季節へ～; PC; GAL; 泣系之始,3340
沖縄スレイブアイランド,冲绳奴隶岛,冲绳萝莉岛、重生萝莉岛,408,BL; 重口; Galgame; 恶心; 变态; 基; PC; 哲♂学; 十二神器; AVG,10551
12RIVEN -the Ψcliminal of integral-,12R跳跃的时空,12Riven: The Psi-Climinal of Integral,405,KID; 打越钢太郎; infinity; Galgame; 悬疑; PC; 12RIVEN; AVG; integral; 唯心主义,3825
11eyes -Resona Forma-,,11eyes RF,400,Lass; Galgame; 11eyes; FD; 中二; GAL; 各种黑历史; 11eyes－Resona; PC; 汉化,3517
哀鸿：城破十日记,哀鸿：城破十日记,The Weeping Swan: Ten Days of the City's Fall、泣き叫ぶ雁、Плач неприкаянных лебедей: Десять дней после падения города、哀鴻：城破十日記,396,国产; Galgame; 全年龄; 粪作; AVG; 破鞋; 历史; 辱华; PC; Windows,10526
あまいろショコラータ3,巧克甜恋3,Amairo Chocolata 3,391,Galgame; 废萌; 白玉; きゃべつそふと; 萝莉; 梱枝りこ; しらたま; 纯爱; PC; 兽耳,3946
ダストマニア・グロテスク ～解体挿入新書～,解体插入新书,十二魔器之一、解体挿入新書,387,猎奇; Galgame; 拔作; 血腥; 丧心病狂; 恶趣味; 重口; 十二魔器; PC; 同人,10555
我和她的世界末日,,Our End of the World,386,国产; Galgame; 橘子班; 全年龄; STEAM; PC; 国产Galgame; 2016; 末日; AVG,10268
planetarian -雪圏球-,星之梦 -雪圈球-,スノーグローブ、雪圈球、planetarian: Snow Globe,378,key; Galgame; 全年龄; 短篇; 涼元悠一; PC; 2021; 水月陵; 催泪; FD,7959
コープスパーティー Book of Shadows,尸体派对 影之书,CP BS,377,PSP; 尸体派对; 5pb; AVG; 恐怖向; 恐怖; ADV; 番茄酱; Galgame; 5pb.,3162
アマカノ,甜蜜女友,,368,Galgame; あざらしそふと; 纯爱; 甜作; ピロ水; PC; 2014; 海豹社; 拔作; 风音,2659
スタディ§ステディ2,,,366,Galgame; ま～まれぇど; 拔作; 2022; 废萌; 动态立绘; 歩サラ; 纯爱; PC; 小波すず,4652
WHITE ALBUM,白色相簿,ホワイトアルバム,357,leaf; Galgame; PC; Aquaplus; 白色相簿; 东弥; NTR; 郁系; 原田宇陀児; GAL,1948
KANADE,,,355,Galgame; FrontWing; 全年龄; 浅生咏; 松本文纪; 前翼社; 短篇; 浅生詠; ゆさの; 游戏,10173
顔のない月,无颜之月,Moonlight Lady、No Surface Moon,350,Galgame; 和风; ROOT; CARNELIAN; 民俗; 无颜之月; PC; 传奇系; 雰囲気がいい; 2000,3246
君が望む永遠,你所期望的永远,KGNE、Kiminozo、君望、君のぞ、The Eternity You Wish For、Rumbling Hearts、愿此刻永恒,347,Galgame; 君が望む永遠; âge; 郁系; AGE; GAL; 鬼畜人タムー; PC; 人渣土豪; 你所期望的永远,744
この世の果てで恋を唄う少女YU-NO,在世界尽头咏唱恋曲的少女YU-NO 重制版,A girl who chants love at the bound of this world、Yu-No、Koihate、yuno、YU-NO,345,Galgame; ELF; 菅野ひろゆき; yu-no; 轮回; 神作; 悬疑; 科幻; AVG; PC,555
サクラ大戦,樱花大战,Sakura Wars、SW、SW1、ST、ST1,345,SEGA; SLG; PC; 樱花大战; サクラ大戦; AVG; Galgame; 童年回忆; 恋爱; 童年回忆（大雾,556
ToHeart2 AnotherDays,,TH2AD、トゥハート2 アナザーデイズ,345,ToHeart2; leaf; Galgame; Aquaplus; GAL; FD; PC; anotherday; 3p雷; 汉化,5026
顔のない月-待宵の双椿-,,无颜之月重制版、无颜之月,292,Galgame; 民俗; ROOT; 重置; 拔作; CARNELIAN; 悬疑; PC; 2025; ADV,3335
ToHeart2,ToHeart2,トゥハート２、TH2,275,Galgame; leaf; Aquaplus; GAL; 初心向; 纯爱; 神作！; AVG; 初心者向け; 校园,1389
sense off ～a sacred story in the wind～,,,258,元長柾木; Galgame; 电波; otherwise; 死生観; 狂气; meta; 2000; 汉化; PC,2824
腐り姫 帰省～jamais vu～,腐姬 归省～jamais vu～,,257,星空めてお; Liar-soft; Galgame; 中村哲也; FD; PC; 2004; GAL; 视频通关; 腐姬,2894
バカップル・サプリメント,,,251,Galgame; ま～まれぇど; 早瀬ゆう; 废萌; 2025; PC; R18; 妹; ADV; 游戏,10023
黄雷のガクトゥーン～What a shining braves～,黄雷的伽克苏恩～何等闪耀的勇气～,Ourai no N'gah-Kthun、黄雷的伽克苏恩,250,Liar-soft; 桜井光; Galgame; 蒸汽朋克系列; 蒸汽朋克; PC; GAL; 乙女向; 燃; 雷闪闪,2427
ハッピーライヴ ショウアップ！,,ハラショウ！、Happy Live Show Up!、harashou、Harashow!,250,FAVORITE; Galgame; 废萌; 夏和小; 忍; 纯爱; ベコ太郎; 魔法; 2021; 高山大河,7920
同級生2,同级生2,Classmates 2、Nanpa 2、Dōkyūsei 2、Dokyusei 2,249,ELF; Galgame; PC; 蛭田昌人; 元祖; GAL; 爱情; 妹ゲー; 1995; 养成,673
トリノライン：ジェネシス,,TRIノLINE GENESIS、Torino Line Genesis,244,minori; Galgame; FD; 柚子奈ひよ; 楠原ゆい; 石原舞; トリノライン; 2018; PC; 天门,5162
空に刻んだパラレログラム,印刻天际的Parallelogram,ぱられろ、Parallelo、Sora ni Kizanda Parallelogram,239,Galgame; 桐葉; ルクル; ウグイスカグラ; GAL; 2018; PC; 妹; 藍月なくる; 桐叶只剩美声了吗,9100
D.C.III ～ダ・カーポIII～,初音岛3,DC3,237,Galgame; CIRCUS; 马戏团; 初音岛; DC3; D.C.; 骗钱; PC; GAL; 2012,2641
夏雪～summer_snow～,,,224,Galgame; 姐控; 姐; 夏雪～summer_snow～; 黑长直; 纯爱; PC; 金发双马尾; 银色子弹; 禁断,5241
メモリーズオフ 双想 ～Not always true～,告别回忆 双想 ～Not always true～,告别回忆 双想 ～Not always true～、告別回憶 雙想 ～Not always true～,218,秋之回忆; Galgame; 林直孝; 2025; PC; 游戏; GAL; 阿保剛; 全年龄; ADV,10534
D.C.4 ～ダ・カーポ4～,初音岛4,DC4、D.C.4 ~Da Capo 4~,216,Galgame; CIRCUS; 全年龄; 马戏团; 妹; PC; GAL; 东山大法; 情怀; たにはらなつき,5130
D.C.5 ～ダ・カーポ5～,,DC5、初音岛5,210,Galgame; 初音岛; CIRCUS; 全年龄; PC; GAL; 马戏团; 2023; 治愈; 游戏,2461
